document_type,description,file_number
11-K/A,"[Amend] [Paper]Annual report of employee stock purchase, savings and similar plansAcc-no: 9999999997-04-029787 Size: 1 KB",000-1427804037668
PRE 14A,Other preliminary proxy statementsAcc-no: 0001193125-04-121180 Size: 37 KB,000-1427804922963
8-K,"Current report, item 12
Acc-no: 0001193125-04-122829 Size: 369 KB",000-1427804926781
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-04-123780 Size: 24 KB,000-1427804929428
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-04-147246 Size: 44 KB,
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-04-150689 Size: 1 MB",000-14278041011640
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001193125-04-151363 Size: 74 KB,333-118764041014044
8-K,"Current report, item 7.01
Acc-no: 0001193125-04-154038 Size: 7 MB",000-14278041021904
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-04-157392 Size: 1 MB,000-14278041033014
DEF 14A,Other definitive proxy statementsAcc-no: 0001193125-04-158873 Size: 2 MB,000-14278041038031
DEFR14A,Revised definitive proxy soliciting materialsAcc-no: 0001193125-04-159572 Size: 633 KB,000-14278041039672
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-04-164116 Size: 32 KB,000-14278041053574
ARS,[Paper]Annual Report to Security HoldersAcc-no: 9999999997-04-039106 Size: 1 KB,000-1427804044167
8-K,"Current report, item 2.02
Acc-no: 0001193125-04-175515 (34 Act)  Size: 231 KB",000-14278041089973
8-K,"Current report, item 2.02
Acc-no: 0001193125-04-189631 (34 Act)  Size: 24 KB",000-14278041126599
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-04-189841 (34 Act)  Size: 421 KB,000-14278041127195
8-K,"Current report, item 7.01
Acc-no: 0001193125-04-193194 (34 Act)  Size: 7 MB",000-14278041134660
8-K,"Current report, items 1.01 and 9.01
Acc-no: 0001193125-04-197513 (34 Act)  Size: 228 KB",000-14278041146553
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001193125-04-197491 (33 Act)  Size: 52 KB,333-120511041146432
8-K/A,"[Amend] Current report, item 7.01
Acc-no: 0001193125-04-203350 (34 Act)  Size: 7 MB",000-14278041167058
8-K,"Current report, item 5.02
Acc-no: 0001193125-05-004747 (34 Act)  Size: 20 KB",000-1427805524177
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-05-013133 (34 Act)  Size: 619 KB,000-1427805553969
8-K,"Current report, item 2.02
Acc-no: 0001193125-05-013148 (34 Act)  Size: 178 KB",000-1427805554017
8-K,"Current report, item 7.01
Acc-no: 0001193125-05-020639 (34 Act)  Size: 1 MB",000-1427805579708
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-05-029399 Size: 46 KB,
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-05-029413 Size: 47 KB,
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-05-029439 Size: 58 KB,
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001104659-05-006480 (34 Act)  Size: 58 KB,005-3875805612419
8-K,"Current report, items 5.02 and 9.01
Acc-no: 0001193125-05-058694 (34 Act)  Size: 21 KB",000-1427805699385
11-K,"[Paper]Annual report of employee stock purchase, savings and similar plansAcc-no: 9999999997-05-025914 (34 Act)  Size: 1 KB",000-1427805055470
8-K/A,"[Amend] Current report, item 5.02
Acc-no: 0001193125-05-071332 (34 Act)  Size: 13 KB",000-1427805737620
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001193125-05-073959 (34 Act)  Size: 25 KB",000-1427805744383
8-K,"Current report, items 5.02 and 9.01
Acc-no: 0001193125-05-084018 (34 Act)  Size: 24 KB",000-1427805770866
8-K,"Current report, item 2.02
Acc-no: 0001193125-05-088610 (34 Act)  Size: 36 KB",000-1427805781028
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-05-088562 (34 Act)  Size: 611 KB,000-1427805780827
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-05-095930 (34 Act)  Size: 1 MB",000-1427805800323
8-K,"Current report, item 5.02
Acc-no: 0001193125-05-113172 (34 Act)  Size: 13 KB",000-1427805852111
11-K,"[Paper]Annual report of employee stock purchase, savings and similar plansAcc-no: 9999999997-05-030507 (34 Act)  Size: 1 KB",000-1427805059676
8-K,"Current report, item 1.01
Acc-no: 0001193125-05-134850 (34 Act)  Size: 13 KB",000-1427805925571
11-K,"[Paper]Annual report of employee stock purchase, savings and similar plansAcc-no: 9999999997-05-030503 (34 Act)  Size: 1 KB",000-1427805059671
11-K,"[Paper]Annual report of employee stock purchase, savings and similar plansAcc-no: 9999999997-05-030386 (34 Act)  Size: 1 KB",000-1427805059623
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001193125-05-146318 (34 Act)  Size: 409 KB",000-1427805966534
8-K,"Current report, items 5.02 and 9.01
Acc-no: 0001193125-05-157825 (34 Act)  Size: 49 KB",000-1427805999833
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-05-174825 (34 Act)  Size: 1 MB",000-14278051050009
8-K,"Current report, items 1.01, 8.01, and 9.01
Acc-no: 0001193125-05-193211 (34 Act)  Size: 30 KB",000-14278051108542
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-05-193215 (34 Act)  Size: 1 MB",000-14278051108593
DEF 14A,Other definitive proxy statementsAcc-no: 0001193125-05-193220 (34 Act)  Size: 1 MB,000-14278051108610
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-05-200837 (34 Act)  Size: 21 KB,000-14278051136462
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-05-209978 (34 Act)  Size: 505 KB,000-14278051160271
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001193125-05-210036 (34 Act)  Size: 47 KB",000-14278051160520
8-K,"Current report, item 5.02
Acc-no: 0001193125-05-223327 (34 Act)  Size: 13 KB",000-14278051195221
8-K,"Current report, item 1.01
Acc-no: 0001193125-05-230197 (34 Act)  Size: 14 KB",000-14278051218222
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-05-233350 (34 Act)  Size: 1 MB",000-14278051231404
8-K,"Current report, item 1.01
Acc-no: 0001193125-06-009363 (34 Act)  Size: 17 KB",000-1427806541114
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-06-012779 (34 Act)  Size: 706 KB,000-1427806553726
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001193125-06-012783 (34 Act)  Size: 43 KB",000-1427806553767
8-K,"Current report, item 5.02
Acc-no: 0001193125-06-019761 (34 Act)  Size: 14 KB",000-1427806578349
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001104659-06-009356 (34 Act)  Size: 66 KB,005-3875806612644
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-06-031451 Size: 50 KB,
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-06-031458 Size: 49 KB,
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-06-031477 Size: 49 KB,
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-06-031505 Size: 45 KB,
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-06-031509 Size: 49 KB,
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-06-031523 Size: 41 KB,
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001193125-06-041404 (33 Act)  Size: 161 KB,333-13210006651825
10-Q/A,[Amend] Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-06-045107 (34 Act)  Size: 48 KB,000-1427806664428
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-06-050847 (34 Act)  Size: 1 MB",000-1427806678812
11-K,"[Paper]Annual report of employee stock purchase, savings and similar plansAcc-no: 9999999997-06-012289 (34 Act)  Size: 1 KB",000-1427806029458
8-K,"Current report, items 5.02 and 9.01
Acc-no: 0001193125-06-079650 (34 Act)  Size: 48 KB",000-1427806758672
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-06-091033 (34 Act)  Size: 722 KB,000-1427806785398
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001193125-06-091040 (34 Act)  Size: 45 KB",000-1427806785438
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-06-021500 Size: 6 KB,
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-06-118858 Size: 24 KB,
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-06-128216 (34 Act)  Size: 1 MB",000-1427806899798
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-06-131072 (34 Act)  Size: 29 KB",000-1427806909294
11-K,"[Paper]Annual report of employee stock purchase, savings and similar plansAcc-no: 9999999997-06-028223 (34 Act)  Size: 1 KB",000-1427806037400
11-K,"[Paper]Annual report of employee stock purchase, savings and similar plansAcc-no: 9999999997-06-028226 (34 Act)  Size: 1 KB",000-1427806037397
11-K,"[Paper]Annual report of employee stock purchase, savings and similar plansAcc-no: 9999999997-06-028220 (34 Act)  Size: 1 KB",000-1427806041003
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-06-145279 Size: 24 KB,
8-K,"Current report, items 7.01 and 9.01
Acc-no: 0001193125-06-147789 (34 Act)  Size: 147 KB",000-1427806965443
SC TO-C,Written communication relating to an issuer or third partyAcc-no: 0001193125-06-150262 (34 Act)  Size: 635 KB,005-3875806972496
8-K,"Current report, items 1.01, 2.02, 7.01, 8.01, and 9.01
Acc-no: 0001193125-06-150261 (34 Act)  Size: 635 KB",000-1427806972512
SC TO-I,Tender offer statement by IssuerAcc-no: 0001193125-06-150966 (34 Act)  Size: 676 KB,005-3875806973999
SC TO-I/A,[Amend] Tender offer statement by IssuerAcc-no: 0001193125-06-154988 (34 Act)  Size: 42 KB,005-3875806985270
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-06-036672 Size: 9 KB,
SC TO-I/A,[Amend] [Cover]Tender offer statement by IssuerAcc-no: 0001193125-06-164150 (34 Act)  Size: 75 KB,005-38758061010663
SC TO-I/A,[Amend] Tender offer statement by IssuerAcc-no: 0001193125-06-175773 (34 Act)  Size: 40 KB,005-38758061042277
SC TO-I/A,[Amend] Tender offer statement by IssuerAcc-no: 0001193125-06-178772 (34 Act)  Size: 41 KB,005-38758061051900
8-K,"Current report, items 5.02 and 9.01
Acc-no: 0001193125-06-180011 (34 Act)  Size: 21 KB",000-14278061056657
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-06-180008 (34 Act)  Size: 1 MB",000-14278061056648
NO ACT,[Paper]No Action LetterAcc-no: 9999999997-06-046310 (34 Act)  Size: 1 KB,000-1427806062209
DEF 14A,Other definitive proxy statementsAcc-no: 0001193125-06-202089 (34 Act)  Size: 1 MB,000-14278061126101
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-06-205609 (34 Act)  Size: 1 MB",000-14278061138357
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-06-206922 (34 Act)  Size: 21 KB,000-14278061142085
8-K,"Current report, items 7.01 and 9.01
Acc-no: 0001193125-06-213894 (34 Act)  Size: 40 KB",000-14278061160936
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-06-215912 (34 Act)  Size: 469 KB,000-14278061166101
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001193125-06-215924 (34 Act)  Size: 43 KB",000-14278061166144
NO ACT,[Paper]No Action LetterAcc-no: 9999999997-07-002056 (34 Act)  Size: 1 KB,000-1427806066182
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-06-232763 Size: 30 KB,
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-06-235137 (34 Act)  Size: 1 MB",000-14278061217039
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-06-058401 Size: 49 KB,
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-06-059193 Size: 50 KB,
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-07-000003 Size: 20 KB,
NO ACT,[Paper]No Action LetterAcc-no: 9999999997-07-005268 (34 Act)  Size: 1 KB,000-1427807043060
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-07-013034 (34 Act)  Size: 592 KB,000-1427807553184
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001193125-07-013039 (34 Act)  Size: 48 KB",000-1427807553196
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-07-016422 Size: 47 KB,
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-07-016442 Size: 50 KB,
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-07-016410 Size: 51 KB,
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-07-016413 Size: 55 KB,
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-07-016441 Size: 53 KB,
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-07-016407 Size: 53 KB,
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001104659-07-009706 (34 Act)  Size: 66 KB,005-3875807603452
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-07-034187 Size: 54 KB,
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-07-034195 Size: 55 KB,
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-07-034193 Size: 54 KB,
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-07-034180 Size: 55 KB,
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-07-034188 Size: 56 KB,
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-07-034190 Size: 57 KB,
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-07-039978 (34 Act)  Size: 1 MB",000-1427807650550
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-07-013526 Size: 377 KB,
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-07-013528 Size: 226 KB,
8-K,"Current report, items 5.02 and 9.01
Acc-no: 0001193125-07-064353 (34 Act)  Size: 22 KB",000-1427807718973
11-K,"[Paper]Annual report of employee stock purchase, savings and similar plansAcc-no: 9999999997-07-016089 (34 Act)  Size: 1 KB",000-1427807049453
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-07-091808 (34 Act)  Size: 591 KB,000-1427807791478
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001193125-07-091818 (34 Act)  Size: 47 KB",000-1427807791553
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-07-116258 (34 Act)  Size: 1 MB",000-1427807855796
8-K,"Current report, items 7.01 and 8.01
Acc-no: 0001193125-07-122687 (34 Act)  Size: 29 KB",000-1427807877688
11-K,"[Paper]Annual report of employee stock purchase, savings and similar plansAcc-no: 9999999997-07-030988 (34 Act)  Size: 1 KB",000-1427807069328
11-K,"[Paper]Annual report of employee stock purchase, savings and similar plansAcc-no: 9999999997-07-034578 (34 Act)  Size: 1 KB",000-1427807069321
11-K,"[Paper]Annual report of employee stock purchase, savings and similar plansAcc-no: 9999999997-07-031207 (34 Act)  Size: 1 KB",000-1427807069840
8-K,"Current report, items 7.01 and 9.01
Acc-no: 0001193125-07-150125 (34 Act)  Size: 21 KB",000-1427807965274
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001193125-07-158174 (34 Act)  Size: 379 KB",000-1427807989433
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-07-170817 (34 Act)  Size: 1 MB",000-14278071024829
8-K,"Current report, items 7.01, 8.01, and 9.01
Acc-no: 0001193125-07-180380 (34 Act)  Size: 28 KB",000-14278071048115
DEF 14A,Other definitive proxy statementsAcc-no: 0001193125-07-205208 (34 Act)  Size: 1 MB,000-14278071128903
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-07-209743 (34 Act)  Size: 871 KB,000-14278071141646
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-07-211697 (34 Act)  Size: 29 KB,000-14278071148816
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-07-219393 (34 Act)  Size: 416 KB,000-14278071174786
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-07-221457 (34 Act)  Size: 1 MB",000-14278071179794
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-07-225854 (34 Act)  Size: 490 KB,000-14278071191013
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001193125-07-225860 (34 Act)  Size: 42 KB",000-14278071191034
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-07-253878 (34 Act)  Size: 1 MB",000-14278071268530
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-07-259490 (34 Act)  Size: 22 MB",000-14278071286244
8-K,"Current report, item 5.02
Acc-no: 0001193125-08-005141 (34 Act)  Size: 12 KB",000-1427808525197
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-08-006860 Size: 38 KB,
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-08-006855 Size: 41 KB,
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001193125-08-011480 (34 Act)  Size: 196 KB",000-1427808547847
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-08-011476 (34 Act)  Size: 686 KB,000-1427808547825
425,"Prospectuses and communications, business combinationsAcc-no: 0000950123-08-001050 Size: 187 KB",
425,"Prospectuses and communications, business combinationsAcc-no: 0000950123-08-001044 Size: 2 MB",
425,"Prospectuses and communications, business combinationsAcc-no: 0000950123-08-001038 Size: 36 KB",
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0000950123-08-001037 (34 Act)  Size: 36 KB",000-1427808567083
425,"Prospectuses and communications, business combinationsAcc-no: 0000950123-08-001043 Size: 11 KB",
425,"Prospectuses and communications, business combinationsAcc-no: 0000950123-08-001107 Size: 31 KB",
425,"Prospectuses and communications, business combinationsAcc-no: 0000950123-08-001108 Size: 8 KB",
425,"Prospectuses and communications, business combinationsAcc-no: 0000950123-08-001113 Size: 16 KB",
425,"Prospectuses and communications, business combinationsAcc-no: 0000950123-08-001116 Size: 5 MB",
425,"Prospectuses and communications, business combinationsAcc-no: 0000950123-08-001127 Size: 269 KB",
425,"Prospectuses and communications, business combinationsAcc-no: 0000950123-08-001445 Size: 22 KB",
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0000950123-08-001444 (34 Act)  Size: 22 KB",000-1427808595350
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001104659-08-010217 (34 Act)  Size: 64 KB,005-3875808607723
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-08-031558 (34 Act)  Size: 17 MB",000-1427808618287
425,"Prospectuses and communications, business combinationsAcc-no: 0000950123-08-001860 Size: 657 KB",
425,"Prospectuses and communications, business combinationsAcc-no: 0000950123-08-002011 Size: 30 KB",
425,"Prospectuses and communications, business combinationsAcc-no: 0000950123-08-002264 Size: 12 KB",
425,"Prospectuses and communications, business combinationsAcc-no: 0001193125-08-045166 Size: 9 KB",
425,"Prospectuses and communications, business combinationsAcc-no: 0001193125-08-050174 Size: 14 KB",
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0001193125-08-071154 (34 Act)  Size: 45 KB",000-1427808725211
425,"Prospectuses and communications, business combinationsAcc-no: 0001193125-08-076258 Size: 28 KB",
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-08-076257 (34 Act)  Size: 27 KB",000-1427808742926
425,"Prospectuses and communications, business combinationsAcc-no: 0001193125-08-076273 Size: 14 KB",
425,"Prospectuses and communications, business combinationsAcc-no: 0001193125-08-078292 Size: 9 KB",
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001193125-08-089345 (34 Act)  Size: 195 KB",000-1427808774595
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-08-089362 (34 Act)  Size: 648 KB,000-1427808774624
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-08-089475 (34 Act)  Size: 27 MB",000-1427808775096
425,"Prospectuses and communications, business combinationsAcc-no: 0001193125-08-091218 Size: 13 KB",
425,"Prospectuses and communications, business combinationsAcc-no: 0001193125-08-091219 Size: 10 KB",
425,"Prospectuses and communications, business combinationsAcc-no: 0001193125-08-100726 Size: 23 KB",
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-08-101910 (34 Act)  Size: 31 KB",000-1427808801628
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-08-118094 (34 Act)  Size: 19 KB",000-1427808844556
8-K,"Current report, items 5.02 and 9.01
Acc-no: 0001193125-08-135263 (34 Act)  Size: 20 KB",000-1427808903950
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0001193125-08-144176 (34 Act)  Size: 135 KB",000-1427808926643
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0001193125-08-144170 (34 Act)  Size: 72 KB",000-1427808926631
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0001193125-08-144169 (34 Act)  Size: 74 KB",000-1427808926622
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001193125-08-152822 (34 Act)  Size: 333 KB",000-1427808957302
8-K,"Current report, item 5.02
Acc-no: 0001193125-08-157953 (34 Act)  Size: 13 KB",000-1427808970564
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-08-162768 (34 Act)  Size: 1 MB",000-1427808982705
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-08-162828 (34 Act)  Size: 1 MB",000-1427808982915
SC TO-C,Written communication relating to an issuer or third partyAcc-no: 0001193125-08-187612 Size: 51 KB,
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-08-044437 Size: 41 KB,
SC TO-C,Written communication relating to an issuer or third partyAcc-no: 0001193125-08-193868 Size: 40 KB,
SC TO-T,Tender offer statement by Third PartyAcc-no: 0001193125-08-194340 Size: 1 MB,
SC TO-T/A,[Amend] Tender offer statement by Third PartyAcc-no: 0001193125-08-198100 Size: 187 KB,
