document_type,description,file_number
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000813917-01-500059 Size: 10 KB,005-554751527792
DEF 14A,Other definitive proxy statementsAcc-no: 0000950123-01-500236 Size: 193 KB,001-140371569021
10-K405,"Annual report [Sections 13 and 15(d), S-K Item 405]Acc-no: 0000950123-01-002310 Size: 277 KB",001-140371569483
8-K,"Current report, items 5 and 7
Acc-no: 0000891836-01-500028 Size: 47 KB",001-140371599956
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000950123-01-502524 Size: 106 KB,001-140371636460
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0000950123-01-504012 Size: 78 KB",001-140371672296
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000950123-01-505591 Size: 191 KB,001-140371710817
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000950123-01-508459 Size: 227 KB,001-140371787920
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0001036325-02-000019 Size: 11 KB,005-5547502553271
8-K,"Current report, items 5 and 7
Acc-no: 0000891618-02-000887 Size: 345 KB",001-1403702556187
NO ACT,[Paper]No Action LetterAcc-no: 9999999997-02-021218 Size: 1 KB,001-1403702025478
DEF 14A,Other definitive proxy statementsAcc-no: 0000950123-02-002800 Size: 254 KB,001-1403702582369
10-K405,"Annual report [Sections 13 and 15(d), S-K Item 405]Acc-no: 0000950123-02-002821 Size: 887 KB",001-1403702582796
ARS,[Paper]Annual Report to Security HoldersAcc-no: 9999999997-02-018208 Size: 1 KB,001-1403702024258
8-K,"Current report, items 2 and 7
Acc-no: 0000891618-02-001786 Size: 23 KB",001-1403702610963
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000950123-02-005143 Size: 202 KB,001-1403702646978
8-K/A,"[Amend] Current report, item 7
Acc-no: 0000950123-02-006504 Size: 386 KB",001-1403702687708
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0000950123-02-006622 Size: 127 KB",001-1403702692014
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000950123-02-008049 Size: 354 KB,001-1403702737343
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0001021408-02-012325 Size: 13 KB,005-5547502784045
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000950123-02-010946 Size: 403 KB,001-1403702825377
NO ACT,[Paper]No Action LetterAcc-no: 9999999997-03-005566 Size: 1 KB,001-1403703006749
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0001036325-03-000017 Size: 5 KB,005-5547503576335
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000893750-03-000155 Size: 27 KB,333-10349603584299
DEF 14A,Other definitive proxy statementsAcc-no: 0000950123-03-003093 Size: 312 KB,001-1403703611880
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000950123-03-003112 Size: 1 MB",001-1403703612310
ARS,[Paper]Annual Report to Security HoldersAcc-no: 9999999997-03-012880 Size: 1 KB,001-1403703016931
8-K,"Current report, items 7 and 9
Acc-no: 0000950123-03-004588 Size: 57 KB",001-1403703659038
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000950123-03-006096 Size: 333 KB,001-1403703704756
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0000950123-03-007719 Size: 119 KB",001-1403703764183
8-K,"Current report, item 9
Acc-no: 0000950123-03-008408 Size: 79 KB",001-1403703797346
8-K,"Current report, item 9
Acc-no: 0000950123-03-008865 Size: 17 KB",001-1403703818559
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000950123-03-009454 Size: 425 KB,001-1403703844762
8-K,"Current report, items 12 and 9
Acc-no: 0000950123-03-011836 Size: 84 KB",001-1403703962006
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000950123-03-012516 Size: 440 KB,001-1403703992396
8-K,"Current report, item 9
Acc-no: 0000950123-04-001247 Size: 114 KB",001-1403704568456
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0001036325-04-000021 Size: 5 KB,005-5547504585922
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000769993-04-000155 Size: 13 KB,005-5547504592562
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000950123-04-003262 Size: 786 KB",001-1403704666902
DEF 14A,Other definitive proxy statementsAcc-no: 0000950123-04-003727 Size: 455 KB,001-1403704687942
ARS,[Paper]Annual Report to Security HoldersAcc-no: 9999999997-04-013462 Size: 1 KB,001-1403704021063
8-K,"Current report, items 12 and 9
Acc-no: 0001157523-04-003917 Size: 26 KB",001-1403704758504
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000950123-04-005975 Size: 329 KB,001-1403704790311
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0000950123-04-007892 Size: 98 KB",001-1403704884866
8-K,"Current report, items 12 and 9
Acc-no: 0001157523-04-006961 Size: 40 KB",001-1403704934486
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000950123-04-009425 Size: 476 KB,001-1403704960058
8-K,"Current report, items 1.01, 2.03, and 9.01
Acc-no: 0000950123-04-010733 Size: 339 KB",001-14037041020612
8-K,"Current report, items 2.02 and 7.01
Acc-no: 0001157523-04-009893 (34 Act)  Size: 42 KB",001-14037041098058
8-K,"Current report, items 5.02 and 9.01
Acc-no: 0000950123-04-012796 (34 Act)  Size: 19 KB",001-14037041111007
144,Report of proposed sale of securitiesAcc-no: 0000950123-04-012945 (33 Act)  Size: 11 KB,001-14037041117150
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000950123-04-012947 (34 Act)  Size: 508 KB,001-14037041117268
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000769993-05-000265 (34 Act)  Size: 8 KB,005-5547505598064
8-K,"Current report, items 2.02, 7.01, 8.01, and 9.01
Acc-no: 0001157523-05-001502 (34 Act)  Size: 41 KB",001-1403705619131
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001036325-05-000020 (34 Act)  Size: 5 KB,005-5547505628098
PRE 14A,Other preliminary proxy statementsAcc-no: 0000950123-05-002155 (34 Act)  Size: 332 KB,001-1403705635164
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000950123-05-002773 (34 Act)  Size: 831 KB",001-1403705667403
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001036325-05-000045 (34 Act)  Size: 5 KB,005-5547505673592
DEF 14A,Other definitive proxy statementsAcc-no: 0000950123-05-003504 (34 Act)  Size: 348 KB,001-1403705698505
ARS,[Paper]Annual Report to Security HoldersAcc-no: 9999999997-05-014965 (34 Act)  Size: 1 KB,001-1403705048247
8-K,"Current report, items 2.02, 5.02, 5.03, 7.01, 8.01, and 9.01
Acc-no: 0001157523-05-003864 (34 Act)  Size: 45 KB",001-1403705774749
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000950123-05-006051 (34 Act)  Size: 429 KB,001-1403705817910
8-K,"Current report, items 5.02 and 9.01
Acc-no: 0000950123-05-006319 (34 Act)  Size: 29 KB",001-1403705830673
8-A12B/A,[Amend] Registration of securities [Section 12(b)]Acc-no: 0000950172-05-001622 (34 Act)  Size: 18 KB,001-1403705842446
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0000950123-05-007880 (34 Act)  Size: 105 KB",001-1403705919977
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000950172-05-002215 (33 Act)  Size: 30 KB,333-12656405952628
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-05-006750 (34 Act)  Size: 42 KB",001-1403705982679
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000950123-05-009100 (34 Act)  Size: 512 KB,001-1403705982689
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000093748-05-000128 (34 Act)  Size: 7 KB,005-55475051001204
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000093748-05-000139 (34 Act)  Size: 7 KB,005-55475051004520
8-K,"Current report, items 1.01, 2.03, and 9.01
Acc-no: 0000950172-05-003215 (34 Act)  Size: 194 KB",001-14037051124880
8-K,"Current report, items 2.02, 7.01, 8.01, and 9.01
Acc-no: 0001157523-05-009187 (34 Act)  Size: 46 KB",001-14037051155580
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000950123-05-012910 (34 Act)  Size: 519 KB,001-14037051170843
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-06-001099 (34 Act)  Size: 40 KB",001-1403706575546
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000769993-06-000424 (34 Act)  Size: 12 KB,005-5547506591047
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000813917-06-000007 (34 Act)  Size: 23 KB,005-5547506591565
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001036325-06-000025 (34 Act)  Size: 5 KB,005-5547506614567
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-06-041923 (34 Act)  Size: 1 MB",001-1403706653031
DEF 14A,Other definitive proxy statementsAcc-no: 0000950123-06-003522 (34 Act)  Size: 356 KB,001-1403706703803
ARS,[Paper]Annual Report to Security HoldersAcc-no: 9999999997-06-010829 (34 Act)  Size: 1 KB,001-1403706029144
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-06-004079 (34 Act)  Size: 33 KB",001-1403706779538
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-06-095539 (34 Act)  Size: 422 KB,001-1403706796879
8-K,"Current report, items 7.01 and 9.01
Acc-no: 0001157523-06-005845 (34 Act)  Size: 11 KB",001-1403706888238
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0001193125-06-139553 (34 Act)  Size: 129 KB",001-1403706934722
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-06-007744 (34 Act)  Size: 43 KB",001-1403706996113
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-06-161105 (34 Act)  Size: 492 KB,001-14037061003018
8-K,"Current report, items 1.01 and 2.03
Acc-no: 0001193125-06-193310 (34 Act)  Size: 16 KB",001-14037061098256
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-06-010253 (34 Act)  Size: 37 KB",001-14037061161497
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-06-222101 (34 Act)  Size: 1 MB,001-14037061182872
8-K,"Current report, items 1.01, 2.01, and 9.01
Acc-no: 0001193125-06-241118 (34 Act)  Size: 425 KB",001-14037061237123
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001036325-07-000018 (34 Act)  Size: 5 KB,005-5547507524956
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-07-001162 (34 Act)  Size: 38 KB",001-1403707586205
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-07-043002 (34 Act)  Size: 1 MB",001-1403707659901
DEF 14A,Other definitive proxy statementsAcc-no: 0000950123-07-004224 (34 Act)  Size: 806 KB,001-1403707709943
ARS,[Paper]Annual Report to Security HoldersAcc-no: 9999999997-07-014161 (34 Act)  Size: 1 KB,001-1403707048215
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-07-004006 (34 Act)  Size: 25 KB",001-1403707786083
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-07-100193 (34 Act)  Size: 438 KB,001-1403707812791
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0001193125-07-147432 (34 Act)  Size: 136 KB",001-1403707951749
8-K,"Current report, items 2.02, 7.01, 8.01, and 9.01
Acc-no: 0001157523-07-007585 (34 Act)  Size: 29 KB",001-14037071014381
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-07-170649 (34 Act)  Size: 472 KB,001-14037071024115
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001193125-07-170837 (33 Act)  Size: 62 KB,333-145127071024941
8-K,"Current report, items 1.01, 2.03, and 9.01
Acc-no: 0001193125-07-181612 (34 Act)  Size: 356 KB",001-14037071051284
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-07-041891 Size: 75 KB,
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-07-194374 Size: 5 KB,
8-K,"Current report, items 1.01, 2.03, and 9.01
Acc-no: 0001193125-07-200737 (34 Act)  Size: 390 KB",001-14037071115996
8-K,"Current report, items 1.01, 2.03, 8.01, and 9.01
Acc-no: 0001193125-07-213468 (34 Act)  Size: 490 KB",001-14037071157437
8-K,"Current report, items 1.01, 2.03, and 9.01
Acc-no: 0001193125-07-215463 (34 Act)  Size: 429 KB",001-14037071163368
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-07-010141 (34 Act)  Size: 30 KB",001-14037071186910
8-K,"Current report, items 5.02 and 9.01
Acc-no: 0001193125-07-227062 (34 Act)  Size: 108 KB",001-14037071194373
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-07-233901 (34 Act)  Size: 602 KB,001-14037071211407
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-07-249610 Size: 57 KB,
8-K,"Current report, items 5.02 and 9.01
Acc-no: 0001193125-07-251325 (34 Act)  Size: 40 KB",001-14037071260477
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-07-059937 Size: 31 KB,
8-K,"Current report, item 2.05
Acc-no: 0001193125-08-002520 (34 Act)  Size: 16 KB",001-1403708515934
NO ACT,[Paper]No Action LetterAcc-no: 9999999997-08-005013 (34 Act)  Size: 1 KB,001-1403708023799
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-08-001033 (34 Act)  Size: 217 KB",001-1403708583129
NO ACT,[Paper]No Action LetterAcc-no: 9999999997-08-006062 (34 Act)  Size: 1 KB,001-1403708024833
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001036325-08-000029 (34 Act)  Size: 10 KB,005-5547508599595
8-K,"Current report, items 1.01, 2.03, and 9.01
Acc-no: 0001193125-08-027542 (34 Act)  Size: 893 KB",001-1403708599013
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0001020066-08-000016 (34 Act)  Size: 7 KB,005-5547508609220
8-K,"Current report, items 5.03 and 9.01
Acc-no: 0001193125-08-037531 (34 Act)  Size: 62 KB",001-1403708640031
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-08-042583 (34 Act)  Size: 2 MB",001-1403708652791
8-K,"Current report, items 4.01 and 9.01
Acc-no: 0001193125-08-047739 (34 Act)  Size: 20 KB",001-1403708667451
NO ACT,[Paper]No Action LetterAcc-no: 9999999997-08-010037 (34 Act)  Size: 2 KB,001-1403708041722
DEF 14A,Other definitive proxy statementsAcc-no: 0001193125-08-060951 (34 Act)  Size: 575 KB,001-1403708699808
ARS,[Paper]Annual Report to Security HoldersAcc-no: 9999999997-08-014576 (34 Act)  Size: 2 KB,001-1403708042937
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-08-003151 (34 Act)  Size: 111 KB",001-1403708770580
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-08-108065 (34 Act)  Size: 897 KB,001-1403708815154
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0001193125-08-143033 (34 Act)  Size: 148 KB",001-1403708923905
25-NSE,"Notification filed by national security exchange to report the removal from listing and registration of matured, redeemed or retired securitiesAcc-no: 0000876661-08-000293 (34 Act)  Size: 4 KB",001-1403708964904
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-08-006035 (34 Act)  Size: 226 KB",001-1403708977325
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-08-165344 (34 Act)  Size: 714 KB,001-1403708989563
8-K,"Current report, items 7.01 and 9.01
Acc-no: 0001193125-08-198051 (34 Act)  Size: 29 KB",001-14037081078627
8-K,"Current report, items 2.01 and 9.01
Acc-no: 0001193125-08-211644 (34 Act)  Size: 33 KB",001-14037081127642
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-08-008489 (34 Act)  Size: 221 KB",001-14037081146346
8-K,"Current report, items 5.02 and 9.01
Acc-no: 0001193125-08-221754 (34 Act)  Size: 34 KB",001-14037081155406
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-08-224656 (34 Act)  Size: 702 KB,001-14037081162260
SC 13D,General statement of acquisition of beneficial ownershipAcc-no: 0001193125-09-010505 (34 Act)  Size: 145 KB,005-5547509543111
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-09-000884 (34 Act)  Size: 236 KB",001-1403709569998
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001020066-09-000015 (34 Act)  Size: 7 KB,005-5547509598377
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000898432-09-000170 (34 Act)  Size: 75 KB,005-5547509600096
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001036325-09-000019 (34 Act)  Size: 10 KB,005-5547509602272
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000898432-09-000221 (34 Act)  Size: 20 KB,005-5547509617853
NO ACT,[Paper]No Action LetterAcc-no: 9999999997-09-012208 (34 Act)  Size: 2 KB,001-1403709035363
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-09-041352 (34 Act)  Size: 1 MB",001-1403709645098
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-09-057777 (34 Act)  Size: 38 KB,001-1403709691603
DEF 14A,Other definitive proxy statementsAcc-no: 0001193125-09-057760 (34 Act)  Size: 610 KB,001-1403709691525
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-09-057775 (34 Act)  Size: 34 KB,001-1403709691595
ARS,[Paper]Annual Report to Security HoldersAcc-no: 9999999997-09-016769 (34 Act)  Size: 2 KB,001-1403709010208
8-K,"Current report, item 2.05
Acc-no: 0001193125-09-071618 (34 Act)  Size: 14 KB",001-1403709727810
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-09-003108 (34 Act)  Size: 129 KB",001-1403709777344
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-09-098358 (34 Act)  Size: 687 KB,001-1403709795240
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-09-024149 Size: 83 KB,
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-09-114171 Size: 14 KB,
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-09-126291 Size: 49 KB,
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-09-033139 Size: 41 KB,
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0001193125-09-139424 (34 Act)  Size: 158 KB",001-1403709913730
SC 13D/A,[Amend] General statement of acquisition of beneficial ownershipAcc-no: 0001193125-09-153219 (34 Act)  Size: 115 KB,005-5547509957641
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-09-154018 (34 Act)  Size: 138 KB,005-5547509959534
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-09-005248 (34 Act)  Size: 229 KB",001-1403709968677
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-09-161143 (34 Act)  Size: 910 KB,001-1403709978637
10-Q/A,[Amend] Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-09-176059 (34 Act)  Size: 2 MB,001-14037091016605
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-09-007394 (34 Act)  Size: 227 KB",001-14037091143181
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-09-224228 (34 Act)  Size: 3 MB,001-14037091159218
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0001422848-09-000386 (34 Act)  Size: 9 KB,005-55475091230738
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-10-000620 (34 Act)  Size: 249 KB",001-1403710572429
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001422848-10-000062 (34 Act)  Size: 9 KB,005-5547510584710
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0001422849-10-000308 (34 Act)  Size: 9 KB,005-5547510585568
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-10-000172 (34 Act)  Size: 12 KB,005-5547510586633
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001036325-10-000018 (34 Act)  Size: 10 KB,005-5547510596395
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-10-001913 (34 Act)  Size: 12 KB,005-5547510605150
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-10-032445 (34 Act)  Size: 144 KB,005-5547510609602
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-10-043405 (34 Act)  Size: 5 MB",001-1403710641776
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001422849-10-000588 (34 Act)  Size: 9 KB,005-5547510668364
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-10-053910 (34 Act)  Size: 33 KB,001-1403710674391
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-10-053907 (34 Act)  Size: 110 KB,001-1403710674370
DEF 14A,Other definitive proxy statementsAcc-no: 0001193125-10-053903 (34 Act)  Size: 828 KB,001-1403710674343
