document_type,description,file_number
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000320193-95-000011 Size: 213 KB,000-1003095561662
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-95-003137 Size: 13 KB,005-3363295579381
SC 13D/A,[Amend] General statement of acquisition of beneficial ownershipAcc-no: 0000320193-95-000012 Size: 14 KB,
SC 13D/A,[Amend] General statement of acquisition of beneficial ownershipAcc-no: 0000320193-95-000014 Size: 51 KB,
SC 13D/A,[Amend] General statement of acquisition of beneficial ownershipAcc-no: 0000320193-95-000015 Size: 51 KB,
DEF 14A,Other definitive proxy statementsAcc-no: 0000891618-95-000750 Size: 111 KB,000-1003095602712
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000320193-95-000016 Size: 232 KB",000-1003095602696
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000320193-96-000002 Size: 345 KB,000-1003096516045
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000320193-96-000003 Size: 7 KB,
8-K,"Current report, item 1
Acc-no: 0000320193-96-000006 Size: 10 KB",000-1003096546487
SC 13D/A,[Amend] General statement of acquisition of beneficial ownershipAcc-no: 0000320193-96-000009 Size: 7 KB,
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000320193-96-000011 Size: 438 KB,000-1003096562018
8-K,"Current report, item 1
Acc-no: 0000320193-96-000014 Size: 9 KB",000-1003096581858
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000320193-96-000016 Size: 10 KB,333-0743796590357
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000320193-96-000018 Size: 336 KB,000-1003096609020
S-3,Registration statement under Securities Act of 1933Acc-no: 0000912057-96-019063 Size: 748 KB,333-1096196622289
8-K,"Current report, items 5 and 7
Acc-no: 0000912057-96-023874 Size: 11 KB",000-1003096648703
S-3/A,[Amend] Registration statement under Securities Act of 1933Acc-no: 0000912057-96-024057 Size: 204 KB,333-1096196649777
8-K,"Current report, item 4
Acc-no: 0000320193-96-000021 Size: 6 KB",000-1003096680727
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000320193-96-000023 Size: 271 KB",000-1003096683426
424B5,Prospectus [Rule 424(b)(5)]Acc-no: 0000912057-96-029905 Size: 6 KB,333-1096196684360
8-K/A,"[Amend] Current report, item 4
Acc-no: 0000320193-96-000025 Size: 5 KB",000-1003096684500
8-K,"Current report, item 7
Acc-no: 0000320193-96-000027 Size: 16 KB",000-1003096686001
DEF 14A,Other definitive proxy statementsAcc-no: 0000912057-96-030278 Size: 174 KB,000-1003096686724
424B3,Prospectus [Rule 424(b)(3)]Acc-no: 0000912057-97-001227 Size: 5 KB,333-1096197507525
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0000890163-97-000011 Size: 5 KB,000-1003097514761
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000820027-97-000147 Size: 11 KB,005-3363297517894
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000820027-97-000191 Size: 12 KB,005-3363297522745
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000320193-97-000002 Size: 247 KB,000-1003097521233
424B3,Prospectus [Rule 424(b)(3)]Acc-no: 0000912057-97-006461 Size: 5 KB,333-1096197541103
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000320193-97-000006 Size: 44 KB,333-2371997560334
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000320193-97-000005 Size: 101 KB,333-2372597560371
SC 13D,General statement of acquisition of beneficial ownershipAcc-no: 0001005150-97-000249 Size: 25 KB,005-3363297577486
8-K,"Current report, item 7
Acc-no: 0000320193-97-000007 Size: 13 KB",000-1003097577834
8-K,"Current report, item 5
Acc-no: 0000320193-97-000009 Size: 17 KB",000-1003097587488
424B3,Prospectus [Rule 424(b)(3)]Acc-no: 0000912057-97-015883 Size: 4 KB,333-1096197596906
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000320193-97-000011 Size: 234 KB,000-1003097601037
S-3,Registration statement under Securities Act of 1933Acc-no: 0000912057-97-019169 Size: 89 KB,333-2819197617416
S-3/A,[Amend] Registration statement under Securities Act of 1933Acc-no: 0000912057-97-019277 Size: 23 KB,333-2819197618057
424B3,Prospectus [Rule 424(b)(3)]Acc-no: 0000912057-97-020602 Size: 60 KB,333-2819197625572
8-K,"Current report, item 4
Acc-no: 0000320193-97-000012 Size: 8 KB",000-1003097646448
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000320193-97-000014 Size: 146 KB,000-1003097655914
8-K,"Current report, item 2
Acc-no: 0000320193-97-000016 Size: 5 KB",000-1003097675612
424B3,Prospectus [Rule 424(b)(3)]Acc-no: 0000912057-97-030826 Size: 5 KB,333-1096197680796
8-K,"Current report, item 2
Acc-no: 0000320193-97-000019 Size: 6 KB",000-1003097685250
8-K,"Current report, item 2
Acc-no: 0000320193-97-000018 Size: 6 KB",000-1003097685249
10-Q/A,[Amend] Quarterly report [Sections 13 or 15(d)]Acc-no: 0000320193-97-000021 Size: 8 KB,000-1003097691951
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001047469-97-006960 Size: 639 KB",000-1003097733413
PRE 14A,Other preliminary proxy statementsAcc-no: 0001047469-97-006864 Size: 130 KB,000-1003097732791
S-4,"Registration of securities, business combinationsAcc-no: 0001047469-97-007470 Size: 602 KB",333-4202597736491
424B3,Prospectus [Rule 424(b)(3)]Acc-no: 0001047469-97-008147 Size: 3 KB,333-1096197740152
S-4/A,"[Amend] Registration of securities, business combinationsAcc-no: 0001047469-98-000148 Size: 604 KB",333-4202598501197
8-K,"Current report, item 2
Acc-no: 0000320193-98-000001 Size: 9 KB",000-1003098503175
10-K/A,"[Amend] Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001047469-98-001822 Size: 51 KB",000-1003098511354
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000320193-98-000003 Size: 139 KB,000-1003098524718
DEF 14A,Other definitive proxy statementsAcc-no: 0001047469-98-010062 Size: 203 KB,000-1003098566590
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000320193-98-000006 Size: 129 KB,000-1003098615298
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000320193-98-000007 Size: 132 KB,333-6045598675834
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-98-001667 Size: 16 KB,005-3363298680797
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000320193-98-000008 Size: 59 KB,000-1003098680930
10-K405,"Annual report [Sections 13 and 15(d), S-K Item 405]Acc-no: 0001047469-98-044981 Size: 341 KB",000-1003098774868
8-K,"Current report, item 1
Acc-no: 0000320193-98-000010 Size: 4 KB",000-1003098775099
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-99-000007 Size: 15 KB,005-3363299501837
PRE 14A,Other preliminary proxy statementsAcc-no: 0001047469-99-002270 Size: 74 KB,000-1003099513375
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000950128-99-000340 Size: 13 KB,005-3363299521857
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000320193-99-000002 Size: 138 KB,000-1003099524101
DEF 14A,Other definitive proxy statementsAcc-no: 0001047469-99-003858 Size: 75 KB,000-1003099524512
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0001047469-99-005928 Size: 25 KB,005-3363299540260
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000950128-99-000549 Size: 13 KB,005-3363299550417
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000766524-99-000650 Size: 20 KB,005-3363299561446
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000320193-99-000004 Size: 190 KB,000-1003099617115
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000320193-99-000006 Size: 57 KB,333-8260399662191
8-K,"Current report, item 2
Acc-no: 0000320193-99-000007 Size: 6 KB",000-1003099665675
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000320193-99-000009 Size: 154 KB,000-1003099680016
8-K,"Current report, item 2
Acc-no: 0000320193-99-000010 Size: 5 KB",000-1003099706624
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001047469-99-035211 Size: 26 KB,005-3363299708473
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000912057-99-010244 Size: 502 KB",000-1003099778628
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000320193-99-000011 Size: 56 KB,333-9347199779519
8-K,"Current report, items 5 and 7
Acc-no: 0000912057-00-002128 Size: 6 KB",000-10030512113
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000950128-00-000087 Size: 12 KB,005-33632513994
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000912057-00-003201 Size: 84 KB,000-10030518560
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000950144-00-001378 Size: 34 KB,005-33632523271
PRE 14A,Other preliminary proxy statementsAcc-no: 0000912057-00-007171 Size: 131 KB,000-10030546686
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000812295-00-000024 Size: 11 KB,005-33632545073
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000766524-00-000026 Size: 20 KB,005-33632548080
DEF 14A,Other definitive proxy statementsAcc-no: 0000912057-00-010000 Size: 135 KB,000-10030561854
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000912057-00-023442 Size: 172 KB,000-10030626787
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000912057-00-024086 Size: 108 KB,333-37012630736
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000912057-00-033901 Size: 243 KB,000-10030682642
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000912057-00-053623 Size: 310 KB",000-10030789406
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000912057-00-054025 Size: 65 KB,333-52116791437
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000950144-01-000951 Size: 9 KB,005-336321505405
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000950129-01-000701 Size: 11 KB,005-336321530316
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000912057-01-004642 Size: 100 KB,000-100301534347
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000812295-01-000138 Size: 11 KB,005-336321547569
DEF 14A,Other definitive proxy statementsAcc-no: 0000912057-01-007512 Size: 145 KB,000-100301566488
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000912057-01-515409 Size: 283 KB,000-100301633697
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000912057-01-516861 Size: 103 KB,333-612761643871
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000912057-01-528148 Size: 303 KB,000-100301707247
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000912057-01-533929 Size: 90 KB,333-705061748835
10-K405,"Annual report [Sections 13 and 15(d), S-K Item 405]Acc-no: 0000912057-01-544436 Size: 791 KB",000-100301821603
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000912057-01-544489 Size: 93 KB,333-759301822166
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001089355-02-000112 Size: 7 KB,005-3363202518407
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000950129-02-000552 Size: 12 KB,005-3363202527895
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000912057-02-004945 Size: 279 KB,000-1003002534550
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-02-000409 Size: 14 KB,005-3363202540827
NO ACT,[Paper]No Action LetterAcc-no: 9999999997-02-013900 Size: 1 KB,000-1003002020265
NO ACT,[Paper]No Action LetterAcc-no: 9999999997-02-015426 Size: 1 KB,000-1003002024468
DEF 14A,Other definitive proxy statementsAcc-no: 0000912057-02-010888 Size: 341 KB,000-1003002581261
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-02-001502 Size: 14 KB,005-3363202606490
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000912057-02-020280 Size: 343 KB,000-1003002647345
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-02-002012 Size: 15 KB,005-3363202699429
8-K,"Current report, items 5 and 7
Acc-no: 0000912057-02-029692 Size: 72 KB",000-1003002718945
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000912057-02-030796 Size: 488 KB,000-1003002725204
8-K,"Current report, items 5 and 7
Acc-no: 0000912057-02-031595 Size: 20 KB",000-1003002730272
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001047469-02-007674 Size: 895 KB",000-1003002863602
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001047469-02-008213 Size: 173 KB,333-10218402867883
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001089355-03-000058 Size: 7 KB,005-3363203531078
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001047469-03-004566 Size: 392 KB,000-1003003547782
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000812295-03-000017 Size: 9 KB,005-3363203567108
NO ACT,[Paper]No Action LetterAcc-no: 9999999997-03-008286 Size: 1 KB,000-1003003016562
SC TO-I,Tender offer statement by IssuerAcc-no: 0001047469-03-009460 Size: 1 MB,005-3363203611011
8-K,"Current report, items 5 and 7
Acc-no: 0001104659-03-004649 Size: 47 KB",000-1003003611221
DEF 14A,Other definitive proxy statementsAcc-no: 0001047469-03-009893 Size: 517 KB,000-1003003614208
8-K,"Current report, items 7 and 9
Acc-no: 0001047469-03-013617 Size: 93 KB",000-1003003652784
SC TO-I/A,[Amend] Tender offer statement by IssuerAcc-no: 0001047469-03-014368 Size: 17 KB,005-3363203660972
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001104659-03-009489 Size: 1 MB,000-1003003696075
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001047469-03-022132 Size: 154 KB,333-10642103755310
8-K,"Current report, items 7 and 9
Acc-no: 0001104659-03-014913 Size: 295 KB",000-1003003789493
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001104659-03-017766 Size: 1 MB,000-1003003837724
8-K,"Current report, items 12 and 7
Acc-no: 0001104659-03-022879 Size: 491 KB",000-1003003942080
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001047469-03-041604 Size: 2 MB",000-10030031066037
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000812295-04-000023 Size: 9 KB,005-3363204520836
8-K,"Current report, items 12 and 7
Acc-no: 0001104659-04-000896 Size: 323 KB",000-1003004525208
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001047469-04-003121 Size: 6 KB,005-3363204565948
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001104659-04-003080 Size: 1 MB,000-1003004579360
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000897226-04-000117 Size: 7 KB,005-3363204600784
DEF 14A,Other definitive proxy statementsAcc-no: 0001047469-04-007414 Size: 309 KB,000-1003004661631
8-K,"Current report, items 12 and 7
Acc-no: 0001104659-04-010122 Size: 452 KB",000-1003004733374
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001104659-04-013021 Size: 1 MB,000-1003004786157
8-K,"Current report, items 12 and 7
Acc-no: 0001104659-04-019574 Size: 464 KB",000-1003004914106
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001104659-04-022384 Size: 1 MB,000-1003004952973
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001104659-04-030400 (34 Act)  Size: 514 KB",000-10030041077241
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001047469-04-035975 (34 Act)  Size: 966 KB",000-10030041181605
8-K,"Current report, item 2.02
Acc-no: 0001104659-05-001049 (34 Act)  Size: 20 KB",000-1003005522973
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001104659-05-001183 (34 Act)  Size: 265 KB",000-1003005526102
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001104659-05-003520 (34 Act)  Size: 1 MB,000-1003005566739
8-K,"Current report, item 8.01
Acc-no: 0001104659-05-005507 (34 Act)  Size: 19 KB",000-1003005595117
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001047469-05-003483 (34 Act)  Size: 8 KB,005-3363205602716
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000913414-05-000073 (34 Act)  Size: 67 KB,005-3363205605343
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000897226-05-000099 (34 Act)  Size: 7 KB,005-3363205610051
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-05-000389 (34 Act)  Size: 14 KB,005-3363205601243
8-K,"Current report, items 3.03 and 5.03
Acc-no: 0001181431-05-013840 (34 Act)  Size: 12 KB",000-1003005655071
DEF 14A,Other definitive proxy statementsAcc-no: 0001047469-05-006387 (34 Act)  Size: 556 KB,000-1003005679581
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001104659-05-016307 (34 Act)  Size: 461 KB",000-1003005748601
8-K,"Current report, item 1.01
Acc-no: 0001181431-05-023450 (34 Act)  Size: 16 KB",000-1003005771263
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001104659-05-020421 (34 Act)  Size: 1 MB,000-1003005800158
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001104659-05-024992 (33 Act)  Size: 298 KB,333-12514805851407
8-K,"Current report, item 8.01
Acc-no: 0001181431-05-033177 (34 Act)  Size: 20 KB",000-1003005879999
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001104659-05-032297 (34 Act)  Size: 452 KB",000-1003005952604
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001104659-05-035792 (34 Act)  Size: 1 MB,000-1003005993572
8-K,"Current report, item 1.01
Acc-no: 0001181431-05-046871 (34 Act)  Size: 17 KB",000-10030051027612
8-K,"Current report, item 1.01
Acc-no: 0001181431-05-049163 (34 Act)  Size: 11 KB",000-10030051052605
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001104659-05-048094 (34 Act)  Size: 489 KB",000-10030051133003
8-K,"Current report, item 5.02
Acc-no: 0001181431-05-056604 (34 Act)  Size: 18 KB",000-10030051139329
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001104659-05-058421 (34 Act)  Size: 3 MB",000-10030051235812
8-K,"Current report, item 1.01
Acc-no: 0001181431-05-067468 (34 Act)  Size: 13 KB",000-10030051271072
8-K,"Current report, item 2.02
Acc-no: 0001104659-06-001428 (34 Act)  Size: 19 KB",000-1003006521464
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001104659-06-002690 (34 Act)  Size: 394 KB",000-1003006535871
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000913414-06-000310 (34 Act)  Size: 21 KB,005-3363206550836
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001104659-06-005910 (34 Act)  Size: 1 MB,000-1003006578233
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000312069-06-000990 (34 Act)  Size: 48 KB,005-3363206590504
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-06-002236 (34 Act)  Size: 10 KB,005-3363206610116
DEF 14A,Other definitive proxy statementsAcc-no: 0001193125-06-052321 (34 Act)  Size: 1 MB,000-1003006682467
DEFR14A,Revised definitive proxy soliciting materialsAcc-no: 0001193125-06-052688 (34 Act)  Size: 1 MB,000-1003006683465
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001104659-06-025992 (34 Act)  Size: 500 KB",000-1003006767561
8-K,"Current report, item 1.01
Acc-no: 0001181431-06-024759 (34 Act)  Size: 11 KB",000-1003006773072
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001104659-06-031303 (34 Act)  Size: 1 MB,000-1003006810345
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001104659-06-047739 (34 Act)  Size: 524 KB",000-1003006969672
8-K,"Current report, items 2.02, 4.02, and 9.01
Acc-no: 0001104659-06-051302 (34 Act)  Size: 31 KB",000-10030061003657
NT 10-Q,Notification of inability to timely file Form 10-Q or 10-QSBAcc-no: 0001104659-06-053743 (34 Act)  Size: 34 KB,000-10030061022784
8-K,"Current report, items 2.02, 3.01, and 9.01
Acc-no: 0001104659-06-054118 (34 Act)  Size: 28 KB",000-10030061025584
CORRESP,[Cover]CorrespondenceAcc-no: 0001104659-06-055907 Size: 52 KB,
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-06-041438 Size: 64 KB,
8-K,"Current report, items 1.01, 5.02, 5.03, and 9.01
Acc-no: 0001104659-06-058808 (34 Act)  Size: 37 KB",000-10030061069766
8-K,"Current report, items 5.02, 8.01, and 9.01
Acc-no: 0001104659-06-064935 (34 Act)  Size: 31 KB",000-10030061129214
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-06-048618 Size: 20 KB,
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001104659-06-067275 (34 Act)  Size: 308 KB",000-10030061151154
8-K,"Current report, item 8.01
Acc-no: 0001104659-06-069015 (34 Act)  Size: 18 KB",000-10030061167128
NT 10-K,"Notification of inability to timely file Form 10-K 405, 10-K, 10-KSB 405, 10-KSB, 10-KT, or 10-KT405Acc-no: 0001104659-06-081617 (34 Act)  Size: 60 KB",000-10030061278263
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001104659-06-084286 (34 Act)  Size: 1 MB,000-10030061303993
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001104659-06-084288 (34 Act)  Size: 4 MB",000-10030061304002
8-K,"Current report, items 5.03 and 9.01
Acc-no: 0001104659-07-001648 (34 Act)  Size: 33 KB",000-1003007521670
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001104659-07-002905 (34 Act)  Size: 271 KB",000-1003007535347
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000913414-07-000583 (34 Act)  Size: 25 KB,005-3363207538392
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001104659-07-006648 (34 Act)  Size: 1 MB,000-1003007574245
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-07-001463 (34 Act)  Size: 12 KB,005-3363207621064
8-K,"Current report, items 5.03 and 9.01
Acc-no: 0001104659-07-012760 (34 Act)  Size: 282 KB",000-1003007639537
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-07-010551 Size: 84 KB,
CORRESP,[Cover]CorrespondenceAcc-no: 0001104659-07-018772 Size: 70 KB,
SC TO-I,Tender offer statement by IssuerAcc-no: 0001104659-07-019900 (34 Act)  Size: 580 KB,005-3363207699414
SC TO-I/A,[Amend] Tender offer statement by IssuerAcc-no: 0001104659-07-021221 (34 Act)  Size: 436 KB,005-3363207709774
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-07-018270 Size: 35 KB,
DEF 14A,Other definitive proxy statementsAcc-no: 0001104659-07-028382 (34 Act)  Size: 1 MB,000-1003007767098
SC TO-I/A,[Amend] Tender offer statement by IssuerAcc-no: 0001104659-07-028681 (34 Act)  Size: 39 KB,005-3363207769489
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001104659-07-030938 (34 Act)  Size: 38 KB",000-1003007785189
CORRESP,[Cover]CorrespondenceAcc-no: 0001104659-07-031008 Size: 31 KB,
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001104659-07-031354 (34 Act)  Size: 302 KB",000-1003007787960
PX14A6G,Notice of exempt solicitationAcc-no: 0000884541-07-000003 (34 Act)  Size: 190 KB,000-1003007789664
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-07-023114 Size: 32 KB,
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001104659-07-037745 (34 Act)  Size: 1 MB,000-1003007834385
8-K,"Current report, items 5.02 and 9.01
Acc-no: 0001104659-07-040672 (34 Act)  Size: 233 KB",000-1003007858557
CORRESP,[Cover]CorrespondenceAcc-no: 0001104659-07-041872 Size: 24 KB,
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-07-029517 Size: 20 KB,
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001104659-07-056111 (34 Act)  Size: 334 KB",000-1003007999637
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001104659-07-059873 (34 Act)  Size: 1 MB,000-10030071033384
