document_type,description,file_number
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-17-040409 (34 Act)  Size: 44 KB,005-8927417599105
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-17-040415 (34 Act)  Size: 42 KB,005-8927417599136
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-17-041143 (34 Act)  Size: 71 KB,005-8927417601750
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-17-001420 (34 Act)  Size: 9 KB,005-8927417603997
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000215457-17-002877 (34 Act)  Size: 12 KB,005-8927417677324
8-K,"Current report, items 2.02, 8.01, and 9.01
Acc-no: 0001652044-17-000011 (34 Act)  Size: 448 KB",001-3758017788964
DEF 14A,Other definitive proxy statementsAcc-no: 0001308179-17-000170 (34 Act)  Size: 2 MB,001-3758017795440
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001308179-17-000171 (34 Act)  Size: 1 MB,001-3758017795485
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001652044-17-000014 (34 Act)  Size: 9 MB,001-3758017805375
PX14A6G,Notice of exempt solicitationAcc-no: 0001214659-17-003050 (34 Act)  Size: 68 KB,001-3758017822178
SD,Acc-no: 0001652044-17-000017 (34 Act)  Size: 659 KB,001-3758017873909
8-K,"Current report, items 5.02, 5.07, and 9.01
Acc-no: 0001193125-17-200227 (34 Act)  Size: 157 KB",001-3758017903739
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-17-214148 (34 Act)  Size: 110 KB",001-3758017931266
8-K,"Current report, items 2.02, 5.02, and 9.01
Acc-no: 0001652044-17-000024 (34 Act)  Size: 472 KB",001-3758017978362
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001652044-17-000026 (34 Act)  Size: 11 MB,001-3758017979076
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001193125-17-234099 (33 Act)  Size: 70 KB,333-21943517979091
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-17-026686 Size: 146 KB,
CORRESP,[Cover]CorrespondenceAcc-no: 0001652044-17-000028 Size: 10 KB,
CORRESP,[Cover]CorrespondenceAcc-no: 0001652044-17-000031 Size: 77 KB,
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-17-034399 Size: 62 KB,
CORRESP,[Cover]CorrespondenceAcc-no: 0001652044-17-000034 Size: 10 KB,
CORRESP,[Cover]CorrespondenceAcc-no: 0001652044-17-000036 Size: 109 KB,
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001652044-17-000039 (34 Act)  Size: 438 KB",001-37580171156299
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001652044-17-000042 (34 Act)  Size: 11 MB,001-37580171157394
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-17-039681 Size: 146 KB,
CORRESP,[Cover]CorrespondenceAcc-no: 0001652044-17-000045 Size: 11 KB,
CORRESP,[Cover]CorrespondenceAcc-no: 0001652044-17-000048 Size: 113 KB,
8-K,"Current report, items 5.02 and 9.01
Acc-no: 0001193125-17-376656 (34 Act)  Size: 19 KB",001-37580171270230
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-18-002893 Size: 35 KB,
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000215457-18-003806 (34 Act)  Size: 13 KB,005-8927418556053
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000215457-18-004641 (34 Act)  Size: 13 KB,005-8927418565096
8-K,"Current report, items 2.02 and 5.02
Acc-no: 0001652044-18-000004 (34 Act)  Size: 472 KB",001-3758018566869
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001652044-18-000007 (34 Act)  Size: 14 MB",001-3758018575994
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000932471-18-004768 (34 Act)  Size: 45 KB,005-8927418594962
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000932471-18-004771 (34 Act)  Size: 45 KB,005-8927418594978
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001295032-18-000002 (34 Act)  Size: 56 KB,005-8927418596187
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001295231-18-000002 (34 Act)  Size: 54 KB,005-8927418596214
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-18-001018 (34 Act)  Size: 9 KB,005-8927418599502
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-18-042754 (34 Act)  Size: 81 KB,005-8927418604393
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001652044-18-000011 (34 Act)  Size: 506 KB",001-3758018768927
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001652044-18-000016 (34 Act)  Size: 9 MB,001-3758018769795
DEF 14A,Other definitive proxy statementsAcc-no: 0001308179-18-000222 (34 Act)  Size: 1 MB,001-3758018785086
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001308179-18-000223 (34 Act)  Size: 137 KB,001-3758018785094
PX14A6G,Notice of exempt solicitationAcc-no: 0001214659-18-003664 (34 Act)  Size: 103 KB,001-3758018830167
PX14A6G,Notice of exempt solicitationAcc-no: 0001214659-18-003975 (34 Act)  Size: 71 KB,001-3758018854729
PX14A6G,Notice of exempt solicitationAcc-no: 0001214659-18-004054 (34 Act)  Size: 72 KB,001-3758018861175
SD,Acc-no: 0001652044-18-000019 (34 Act)  Size: 490 KB,001-3758018868222
8-K,"Current report, items 5.02, 5.07, and 9.01
Acc-no: 0001193125-18-188050 (34 Act)  Size: 143 KB",001-3758018889492
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-18-220240 (34 Act)  Size: 160 KB",001-3758018957775
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001652044-18-000025 (34 Act)  Size: 504 KB",001-3758018964538
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001652044-18-000027 (34 Act)  Size: 11 MB,001-3758018965497
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001193125-18-224022 (33 Act)  Size: 103 KB,333-22630918965520
