document_type,description,file_number
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029257 (33 Act)  Size: 297 KB,333-21920618909223
SC 13D/A,[Amend] General statement of acquisition of beneficial ownershipAcc-no: 0000895345-18-000174 Size: 177 KB,
8-K,"Current report, item 8.01
Acc-no: 0001193125-18-199668 (34 Act)  Size: 14 KB",001-1496518912492
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029488 (33 Act)  Size: 576 KB,333-21920618912409
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029482 (33 Act)  Size: 569 KB,333-21920618912375
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-199603 (33 Act)  Size: 691 KB,333-21920618912317
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029478 (33 Act)  Size: 736 KB,333-21920618912315
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-041563 (33 Act)  Size: 895 KB,333-21920618912319
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-029435 (34 Act)  Size: 832 KB,333-21920618911505
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029433 (33 Act)  Size: 325 KB,333-21920618911489
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029405 (33 Act)  Size: 282 KB,333-21920618910759
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029390 (33 Act)  Size: 328 KB,333-21920618910652
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029384 (33 Act)  Size: 275 KB,333-21920618910540
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029372 (33 Act)  Size: 663 KB,333-21920618910478
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029356 (33 Act)  Size: 555 KB,333-21920618910392
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-199462 (33 Act)  Size: 705 KB,333-21920618911862
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029569 (33 Act)  Size: 363 KB,333-21920618913905
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-041765 (33 Act)  Size: 298 KB,333-21920618914230
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-200877 (33 Act)  Size: 713 KB,333-21920618914239
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029617 (33 Act)  Size: 658 KB,333-21920618914993
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029613 (33 Act)  Size: 508 KB,333-21920618914904
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-201141 (33 Act)  Size: 1 MB,333-21920618915005
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029566 (33 Act)  Size: 230 KB,333-21920618913788
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029580 (33 Act)  Size: 552 KB,333-21920618914301
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029557 (33 Act)  Size: 546 KB,333-21920618913411
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-200858 (33 Act)  Size: 119 KB,333-21920618914193
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029532 (33 Act)  Size: 667 KB,333-21920618913013
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029529 (33 Act)  Size: 672 KB,333-21920618913007
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029527 (33 Act)  Size: 1 MB,333-21920618912997
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029525 (33 Act)  Size: 2 MB,333-21920618912930
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029523 (33 Act)  Size: 2 MB,333-21920618912923
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029522 (33 Act)  Size: 2 MB,333-21920618912919
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0001193125-18-199799 (34 Act)  Size: 1 MB",001-1496518912812
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001104659-18-041597 (34 Act)  Size: 826 KB,333-21920618912775
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029503 (33 Act)  Size: 556 KB,333-21920618912672
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029553 (33 Act)  Size: 579 KB,333-21920618913359
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-202630 (33 Act)  Size: 632 KB,333-21920618917723
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029826 (33 Act)  Size: 334 KB,333-21920618917686
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-202596 (33 Act)  Size: 280 KB,333-21920618917567
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029756 (33 Act)  Size: 487 KB,333-21920618916806
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029747 (33 Act)  Size: 777 KB,333-21920618916738
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-202569 (33 Act)  Size: 347 KB,333-21920618917510
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-202102 (33 Act)  Size: 640 KB,333-21920618916454
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001104659-18-041970 (34 Act)  Size: 719 KB,333-21920618916249
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-041945 (33 Act)  Size: 365 KB,333-21920618916151
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029651 (33 Act)  Size: 682 KB,333-21920618915596
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029649 (33 Act)  Size: 2 MB,333-21920618915579
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029734 (33 Act)  Size: 641 KB,333-21920618916621
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-042328 (33 Act)  Size: 757 KB,333-21920618919922
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029960 (33 Act)  Size: 2 MB,333-21920618919924
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029961 (33 Act)  Size: 317 KB,333-21920618919930
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-042329 (33 Act)  Size: 653 KB,333-21920618919934
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-042331 (33 Act)  Size: 820 KB,333-21920618919951
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029968 (33 Act)  Size: 2 MB,333-21920618919992
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-042332 (33 Act)  Size: 619 KB,333-21920618919981
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029972 (33 Act)  Size: 3 MB,333-21920618919998
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-042334 (33 Act)  Size: 827 KB,333-21920618920000
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-042326 (33 Act)  Size: 601 KB,333-21920618919907
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-204216 (33 Act)  Size: 287 KB,333-21920618920087
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029965 (33 Act)  Size: 210 KB,333-21920618919964
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029954 (33 Act)  Size: 342 KB,333-21920618919901
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029977 (33 Act)  Size: 313 KB,333-21920618920032
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-042324 (33 Act)  Size: 760 KB,333-21920618919892
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-042325 (33 Act)  Size: 792 KB,333-21920618919898
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-202709 (33 Act)  Size: 666 KB,333-21920618917963
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029846 (33 Act)  Size: 639 KB,333-21920618918012
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001104659-18-042101 (34 Act)  Size: 520 KB,333-21920618918129
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-203501 (33 Act)  Size: 621 KB,333-21920618918700
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029897 (33 Act)  Size: 266 KB,333-21920618918752
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029976 (33 Act)  Size: 649 KB,333-21920618920022
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-203984 (33 Act)  Size: 328 KB,333-21920618919251
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029950 (33 Act)  Size: 531 KB,333-21920618919851
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029949 (33 Act)  Size: 531 KB,333-21920618919848
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029952 (33 Act)  Size: 545 KB,333-21920618919860
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-204155 (33 Act)  Size: 266 KB,333-21920618919717
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-204028 (33 Act)  Size: 428 KB,333-21920618919353
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-029899 (34 Act)  Size: 786 KB,333-21920618918773
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030181 (33 Act)  Size: 642 KB,333-21920618922527
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030171 (33 Act)  Size: 871 KB,333-21920618922462
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030162 (33 Act)  Size: 527 KB,333-21920618922425
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030140 (33 Act)  Size: 556 KB,333-21920618922319
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030125 (33 Act)  Size: 2 MB,333-21920618922190
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-042597 (33 Act)  Size: 746 KB,333-21920618922179
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-205514 (33 Act)  Size: 463 KB,333-21920618921548
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030153 (33 Act)  Size: 442 KB,333-21920618922397
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-205212 (33 Act)  Size: 673 KB,333-21920618921162
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-205104 (33 Act)  Size: 649 KB,333-21920618920932
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-030054 (34 Act)  Size: 737 KB,333-21920618920840
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030045 (33 Act)  Size: 310 KB,333-21920618920653
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-042381 (33 Act)  Size: 593 KB,333-21920618920413
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-042375 (33 Act)  Size: 365 KB,333-21920618920378
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030071 (33 Act)  Size: 401 KB,333-21920618921241
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030009 (33 Act)  Size: 748 KB,333-21920618920366
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030462 (33 Act)  Size: 553 KB,333-21920618926304
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030458 (33 Act)  Size: 2 MB,333-21920618926291
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030455 (33 Act)  Size: 1 MB,333-21920618926258
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-042907 (33 Act)  Size: 1 MB,333-21920618926244
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030448 (33 Act)  Size: 1 MB,333-21920618926043
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-042901 (33 Act)  Size: 461 KB,333-21920618926165
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030446 (33 Act)  Size: 2 MB,333-21920618926022
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030461 (33 Act)  Size: 559 KB,333-21920618926306
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-042902 (33 Act)  Size: 860 KB,333-21920618926192
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030463 (33 Act)  Size: 2 MB,333-21920618926312
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030486 (33 Act)  Size: 1 MB,333-21920618926432
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030470 (33 Act)  Size: 2 MB,333-21920618926347
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030471 (33 Act)  Size: 2 MB,333-21920618926356
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030473 (33 Act)  Size: 2 MB,333-21920618926359
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030474 (33 Act)  Size: 1 MB,333-21920618926377
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030477 (33 Act)  Size: 2 MB,333-21920618926380
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030481 (33 Act)  Size: 1 MB,333-21920618926406
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030482 (33 Act)  Size: 1 MB,333-21920618926415
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030485 (33 Act)  Size: 556 KB,333-21920618926427
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-18-207857 (34 Act)  Size: 25 KB",001-1496518926443
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030444 (33 Act)  Size: 2 MB,333-21920618925996
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030467 (33 Act)  Size: 2 MB,333-21920618926340
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030434 (33 Act)  Size: 202 KB,333-21920618925801
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030450 (33 Act)  Size: 2 MB,333-21920618926069
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030429 (33 Act)  Size: 270 KB,333-21920618925651
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001104659-18-042880 (34 Act)  Size: 547 KB,333-21920618925792
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-042618 (33 Act)  Size: 800 KB,333-21920618922679
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-042635 (33 Act)  Size: 346 KB,333-21920618922905
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030210 (33 Act)  Size: 308 KB,333-21920618922912
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-206292 (33 Act)  Size: 664 KB,333-21920618923078
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030256 (33 Act)  Size: 671 KB,333-21920618923102
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030303 (33 Act)  Size: 277 KB,333-21920618923863
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-206975 (33 Act)  Size: 675 KB,333-21920618923868
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-206997 (33 Act)  Size: 645 KB,333-21920618923941
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-207118 (33 Act)  Size: 453 KB,333-21920618924140
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-207139 (33 Act)  Size: 437 KB,333-21920618924189
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-206959 (33 Act)  Size: 624 KB,333-21920618923839
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-207306 (33 Act)  Size: 434 KB,333-21920618924676
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030412 (33 Act)  Size: 309 KB,333-21920618925388
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-207252 (33 Act)  Size: 416 KB,333-21920618924450
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030405 (33 Act)  Size: 497 KB,333-21920618925340
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030403 (33 Act)  Size: 2 MB,333-21920618925324
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030398 (33 Act)  Size: 331 KB,333-21920618925286
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030407 (33 Act)  Size: 2 MB,333-21920618925349
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030397 (33 Act)  Size: 2 MB,333-21920618925281
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030385 (33 Act)  Size: 554 KB,333-21920618925044
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030383 (33 Act)  Size: 670 KB,333-21920618925034
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001104659-18-042800 (34 Act)  Size: 462 KB,333-21920618925017
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030647 (33 Act)  Size: 580 KB,333-21920618928452
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-030635 (33 Act)  Size: 553 KB,333-21920618928141
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001104659-18-043104 (34 Act)  Size: 420 KB,333-21920618928112
