document_type,description,file_number
8-K,"Current report, items 1.01, 2.03, and 9.01
Acc-no: 0001193125-12-423438 (34 Act)  Size: 572 KB",001-35551121144214
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001193125-12-431558 (34 Act)  Size: 333 KB",001-35551121156746
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001326801-12-000006 (34 Act)  Size: 8 MB,001-35551121158822
8-K,"Current report, item 2.03
Acc-no: 0001193125-12-439795 (34 Act)  Size: 14 KB",001-35551121167143
8-K,"Current report, item 8.01
Acc-no: 0001193125-12-485803 (34 Act)  Size: 16 KB",001-35551121232295
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001193125-13-029993 (34 Act)  Size: 348 KB",001-3555113559333
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001326801-13-000003 (34 Act)  Size: 14 MB",001-3555113567242
CT ORDER,Confidential treatment orderAcc-no: 9999999997-13-000618 (34 Act)  Size: 11 KB,001-3555113567327
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001193125-13-034740 (33 Act)  Size: 103 KB,333-18640213567438
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-13-055365 (34 Act)  Size: 47 KB,005-8727213603331
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-13-059209 (34 Act)  Size: 41 KB,005-8727213610463
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-13-002447 (34 Act)  Size: 12 KB,005-8727213610980
8-K,"Current report, item 5.02
Acc-no: 0001326801-13-000006 (34 Act)  Size: 34 KB",001-3555113670004
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-13-095499 (34 Act)  Size: 45 KB,005-8727213672492
8-K/A,"[Amend] Current report, item 5.02
Acc-no: 0001326801-13-000008 (34 Act)  Size: 35 KB",001-3555113739725
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-13-178118 (34 Act)  Size: 63 KB,001-3555113788340
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-13-022777 Size: 162 KB,
8-K,"Current report, item 5.02
Acc-no: 0001193125-13-177980 (34 Act)  Size: 14 KB",001-3555113788051
DEF 14A,Other definitive proxy statementsAcc-no: 0001193125-13-178090 (34 Act)  Size: 661 KB,001-3555113788293
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-13-188632 Size: 28 KB,
8-K,"Current report, items 2.02, 5.02, and 9.01
Acc-no: 0001193125-13-192397 (34 Act)  Size: 212 KB",001-3555113803302
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001326801-13-000011 (34 Act)  Size: 7 MB,001-3555113808578
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-13-027901 Size: 36 KB,
8-K,"Current report, item 5.07
Acc-no: 0001326801-13-000013 (34 Act)  Size: 62 KB",001-3555113911620
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001326801-13-000016 (34 Act)  Size: 612 KB",001-3555113983796
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001326801-13-000019 (34 Act)  Size: 11 MB,001-3555113986871
CT ORDER,Confidential treatment orderAcc-no: 9999999997-13-012496 (33 Act)  Size: 11 KB,333-179287131021197
8-K,"Current report, items 1.01, 1.02, 2.03, and 9.01
Acc-no: 0001326801-13-000022 (34 Act)  Size: 816 KB",001-35551131042890
8-K/A,"[Amend] Current report, item 5.07
Acc-no: 0001326801-13-000025 (34 Act)  Size: 35 KB",001-35551131154299
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001326801-13-000029 (34 Act)  Size: 590 KB",001-35551131179405
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001326801-13-000031 (34 Act)  Size: 8 MB,001-35551131183886
S-3ASR,Automatic shelf registration statement of securities of well-known seasoned issuersAcc-no: 0001193125-13-478298 (33 Act)  Size: 277 KB,333-192944131286954
8-K,"Current report, items 1.01, 8.01, and 9.01
Acc-no: 0001193125-13-482943 (34 Act)  Size: 137 KB",001-35551131294966
424B5,Prospectus [Rule 424(b)(5)]Acc-no: 0001193125-13-482951 (33 Act)  Size: 141 KB,333-192944131294993
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001326801-14-000003 (34 Act)  Size: 587 KB",001-3555114557095
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001326801-14-000007 (34 Act)  Size: 13 MB",001-3555114564912
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-14-039819 (34 Act)  Size: 42 KB,005-8727214581961
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-14-040883 (34 Act)  Size: 44 KB,005-8727214584981
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-14-002093 (34 Act)  Size: 13 KB,005-8727214609747
8-K,"Current report, items 1.01, 3.02, 8.01, and 9.01
Acc-no: 0001326801-14-000010 (34 Act)  Size: 65 KB",001-3555114626384
8-K,"Current report, items 3.02 and 8.01
Acc-no: 0001326801-14-000012 (34 Act)  Size: 39 KB",001-3555114717047
DEF 14A,Other definitive proxy statementsAcc-no: 0001326801-14-000016 (34 Act)  Size: 1 MB,001-3555114730417
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001326801-14-000018 (34 Act)  Size: 1 MB,001-3555114730531
PX14A6G,Notice of exempt solicitationAcc-no: 0001214659-14-002682 (34 Act)  Size: 40 KB,001-3555114750137
8-K,"Current report, items 2.02, 5.02, and 9.01
Acc-no: 0001326801-14-000020 (34 Act)  Size: 352 KB",001-3555114778818
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001326801-14-000023 (34 Act)  Size: 8 MB,001-3555114785656
8-K,"Current report, item 5.07
Acc-no: 0001326801-14-000025 (34 Act)  Size: 72 KB",001-3555114867743
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001326801-14-000029 (34 Act)  Size: 548 KB",001-3555114988891
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001326801-14-000032 (34 Act)  Size: 7 MB,001-3555114991613
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001326801-14-000035 (33 Act)  Size: 296 KB,333-199172141141722
8-K,"Current report, items 2.01, 3.02, 5.02, and 9.01
Acc-no: 0001326801-14-000037 (34 Act)  Size: 52 KB",001-35551141141804
D,"Notice of Exempt Offering of Securities, item 06b
Acc-no: 0001168404-14-000008 (33 Act)  Size: 18 KB",021-226792141164052
8-K/A,"[Amend] Current report, item 9.01
Acc-no: 0001326801-14-000047 (34 Act)  Size: 1 MB",001-35551141177267
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001326801-14-000044 (34 Act)  Size: 590 KB",001-35551141177195
S-3ASR,Automatic shelf registration statement of securities of well-known seasoned issuersAcc-no: 0001326801-14-000055 (33 Act)  Size: 1 MB,333-199678141180297
424B7,Prospectus [Rule 424(b)(7)]Acc-no: 0001326801-14-000059 (33 Act)  Size: 318 KB,333-199678141180611
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001326801-14-000064 (34 Act)  Size: 144 KB",001-35551141180867
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001326801-14-000068 (34 Act)  Size: 9 MB,001-35551141181465
424B7,Prospectus [Rule 424(b)(7)]Acc-no: 0001193125-14-388215 (33 Act)  Size: 388 KB,333-199678141181503
424B7,Prospectus [Rule 424(b)(7)]Acc-no: 0001193125-14-399551 (33 Act)  Size: 36 KB,333-199678141198672
424B7,Prospectus [Rule 424(b)(7)]Acc-no: 0001193125-14-407415 (33 Act)  Size: 403 KB,333-199678141210774
424B7,Prospectus [Rule 424(b)(7)]Acc-no: 0001193125-14-414071 (33 Act)  Size: 110 KB,333-199678141226262
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001326801-15-000003 (34 Act)  Size: 594 KB",001-3555115554941
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001326801-15-000006 (34 Act)  Size: 15 MB",001-3555115559354
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0001086364-15-001866 (34 Act)  Size: 13 KB,005-8727215570040
424B7,Prospectus [Rule 424(b)(7)]Acc-no: 0001193125-15-032540 (33 Act)  Size: 43 KB,333-19967815573435
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000932471-15-005171 (34 Act)  Size: 39 KB,005-8727215597967
10-K/A,"[Amend] Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001326801-15-000010 (34 Act)  Size: 186 KB",001-3555115616324
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-15-001915 (34 Act)  Size: 9 KB,005-8727215609881
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-15-049853 (34 Act)  Size: 45 KB,005-8727215614249
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001326801-15-000012 (34 Act)  Size: 372 KB",001-3555115785718
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001326801-15-000015 (34 Act)  Size: 7 MB,001-3555115788702
DEF 14A,Other definitive proxy statementsAcc-no: 0001326801-15-000019 (34 Act)  Size: 2 MB,001-3555115792044
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001326801-15-000020 (34 Act)  Size: 1 MB,001-3555115792070
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-15-024247 Size: 163 KB,
PX14A6G,Notice of exempt solicitationAcc-no: 0001214659-15-003575 (34 Act)  Size: 53 KB,001-3555115828194
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-15-188257 Size: 59 KB,
8-K,"Current report, item 5.07
Acc-no: 0001326801-15-000023 (34 Act)  Size: 68 KB",001-3555115931639
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-15-034286 Size: 140 KB,
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-15-251045 Size: 39 KB,
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001326801-15-000026 (34 Act)  Size: 600 KB",001-35551151012760
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001326801-15-000028 (34 Act)  Size: 6 MB,001-35551151017545
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-15-042537 Size: 268 KB,
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-15-312079 Size: 32 KB,
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-15-348420 Size: 23 KB,
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-15-050854 Size: 38 KB,
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001326801-15-000030 (34 Act)  Size: 607 KB",001-35551151196926
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001326801-15-000032 (34 Act)  Size: 6 MB,001-35551151201364
8-K,"Current report, item 8.01
Acc-no: 0001326801-15-000035 (34 Act)  Size: 34 KB",001-35551151262537
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000215457-16-002768 (34 Act)  Size: 13 KB,005-87272161360988
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001326801-16-000038 (34 Act)  Size: 622 KB",001-35551161365106
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001326801-16-000043 (34 Act)  Size: 11 MB",001-35551161369121
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000932471-16-010854 (34 Act)  Size: 39 KB,005-87272161402590
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-16-005128 (34 Act)  Size: 9 KB,005-87272161414816
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-16-462685 (34 Act)  Size: 45 KB,005-87272161420554
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-16-073605 Size: 165 KB,
PRE 14A,Other preliminary proxy statementsAcc-no: 0001326801-16-000053 (34 Act)  Size: 3 MB,001-35551161595328
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001326801-16-000061 (34 Act)  Size: 455 KB,001-35551161595715
8-K,"Current report, items 2.02 and 8.01
Acc-no: 0001326801-16-000060 (34 Act)  Size: 456 KB",001-35551161595733
10-K/A,"[Amend] Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001326801-16-000063 (34 Act)  Size: 852 KB",001-35551161595915
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001326801-16-000067 (34 Act)  Size: 6 MB,001-35551161600249
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001326801-16-000069 (34 Act)  Size: 133 KB,001-35551161600440
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-16-582198 Size: 44 KB,
8-K,"Current report, items 1.02 and 8.01
Acc-no: 0001326801-16-000071 (34 Act)  Size: 35 KB",001-35551161666504
DEF 14A,Other definitive proxy statementsAcc-no: 0001326801-16-000074 (34 Act)  Size: 2 MB,001-35551161693355
PX14A6G,Notice of exempt solicitationAcc-no: 0001214659-16-012058 (34 Act)  Size: 36 KB,001-35551161700249
PX14A6G,Notice of exempt solicitationAcc-no: 0001214659-16-012186 (34 Act)  Size: 64 KB,001-35551161713174
8-K,"Current report, item 5.07
Acc-no: 0001326801-16-000077 (34 Act)  Size: 116 KB",001-35551161724969
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-16-082817 Size: 143 KB,
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-16-649470 Size: 33 KB,
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001326801-16-000079 (34 Act)  Size: 531 KB",001-35551161786847
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001326801-16-000082 (34 Act)  Size: 7 MB,001-35551161790397
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-16-098355 Size: 149 KB,
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001326801-16-000084 (34 Act)  Size: 535 KB",001-35551161967925
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001326801-16-000087 (34 Act)  Size: 7 MB,001-35551161971564
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-16-763238 Size: 17 KB,
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-16-772580 Size: 43 KB,
8-K,"Current report, item 8.01
Acc-no: 0001326801-16-000093 (34 Act)  Size: 35 KB",001-35551162007927
8-K,"Current report, item 5.02
Acc-no: 0001326801-16-000094 (34 Act)  Size: 39 KB",001-35551162007959
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000353480-17-000647 (34 Act)  Size: 13 KB,005-8727217541890
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-17-002599 Size: 35 KB,
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001326801-17-000004 (34 Act)  Size: 569 KB",001-3555117564950
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001326801-17-000007 (34 Act)  Size: 11 MB",001-3555117570080
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000932471-17-002049 (34 Act)  Size: 36 KB,005-8727217592544
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-17-001665 (34 Act)  Size: 9 KB,005-8727217604669
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-17-043755 (34 Act)  Size: 45 KB,005-8727217610425
8-K,"Current report, item 5.02
Acc-no: 0001326801-17-000011 (34 Act)  Size: 38 KB",001-3555117672030
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001326801-17-000017 (34 Act)  Size: 877 KB,001-3555117762929
DEF 14A,Other definitive proxy statementsAcc-no: 0001326801-17-000016 (34 Act)  Size: 1 MB,001-3555117762914
PX14A6G,Notice of exempt solicitationAcc-no: 0001214659-17-002716 (34 Act)  Size: 76 KB,001-3555117786721
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001326801-17-000021 (34 Act)  Size: 273 KB",001-3555117809331
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001326801-17-000024 (34 Act)  Size: 6 MB,001-3555117814232
PX14A6G,Notice of exempt solicitationAcc-no: 0001387131-17-003052 (34 Act)  Size: 46 KB,001-3555117873380
SD,Acc-no: 0001326801-17-000028 (34 Act)  Size: 78 KB,001-3555117873857
8-K,"Current report, item 5.07
Acc-no: 0001326801-17-000033 (34 Act)  Size: 76 KB",001-3555117894649
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001326801-17-000035 (34 Act)  Size: 394 KB",001-3555117982907
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001326801-17-000038 (34 Act)  Size: 6 MB,001-3555117986612
8-K,"Current report, items 3.03 and 8.01
Acc-no: 0001326801-17-000042 (34 Act)  Size: 43 KB",001-35551171097706
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001326801-17-000046 (34 Act)  Size: 400 KB",001-35551171169057
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001326801-17-000053 (34 Act)  Size: 6 MB,001-35551171172991
8-K,"Current report, items 5.02 and 9.01
Acc-no: 0001326801-18-000003 (34 Act)  Size: 45 KB",001-3555118534646
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001326801-18-000006 (34 Act)  Size: 425 KB",001-3555118562806
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001326801-18-000009 (34 Act)  Size: 9 MB",001-3555118567541
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001326801-18-000013 (33 Act)  Size: 195 KB,333-22282318567805
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000215457-18-005184 (34 Act)  Size: 13 KB,005-8727218583227
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000932471-18-003786 (34 Act)  Size: 45 KB,005-8727218589424
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-18-038194 (34 Act)  Size: 48 KB,005-8727218592836
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-18-001252 (34 Act)  Size: 9 KB,005-8727218599738
DEF 14A,Other definitive proxy statementsAcc-no: 0001326801-18-000022 (34 Act)  Size: 2 MB,001-3555118754948
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001326801-18-000024 (34 Act)  Size: 1 MB,001-3555118754973
PX14A6G,Notice of exempt solicitationAcc-no: 0001214659-18-002848 (34 Act)  Size: 133 KB,001-3555118758473
8-K,"Current report, items 2.02, 8.01, and 9.01
Acc-no: 0001326801-18-000026 (34 Act)  Size: 279 KB",001-3555118774574
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001326801-18-000032 (34 Act)  Size: 6 MB,001-3555118779563
8-K,"Current report, item 5.02
Acc-no: 0001193125-18-145181 (34 Act)  Size: 14 KB",001-3555118793319
8-K/A,"[Amend] Current report, item 5.02
Acc-no: 0001326801-18-000039 (34 Act)  Size: 33 KB",001-3555118815242
DEFR14A,Revised definitive proxy soliciting materialsAcc-no: 0001326801-18-000041 (34 Act)  Size: 31 KB,001-3555118815329
8-K,"Current report, items 5.02, 8.01, and 9.01
Acc-no: 0001326801-18-000037 (34 Act)  Size: 47 KB",001-3555118815030
PX14A6G,Notice of exempt solicitationAcc-no: 0001214659-18-003836 (34 Act)  Size: 46 KB,001-3555118842735
PX14A6G,Notice of exempt solicitationAcc-no: 0001214659-18-003883 (34 Act)  Size: 120 KB,001-3555118845254
PX14A6G,Notice of exempt solicitationAcc-no: 0001387131-18-002329 (34 Act)  Size: 46 KB,001-3555118853994
SD,Acc-no: 0001326801-18-000045 (34 Act)  Size: 65 KB,001-3555118862081
8-K,"Current report, item 5.07
Acc-no: 0001326801-18-000049 (34 Act)  Size: 79 KB",001-3555118881617
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001326801-18-000053 (34 Act)  Size: 404 KB",001-3555118968816
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001326801-18-000057 (34 Act)  Size: 7 MB,001-3555118972047
